BankURL,UserName,ReviewRating,UserLocation,ReviewTitle,comments,ReviewDate
www.dugood.org,Kenneth,5,US,I would recommend Dugood Credit Union…,I would recommend Dugood Credit Union to anyone! A very family oriented credit union that really cares about you.,"Date of experience: March 01, 2018"
www.dugood.org,Melinda,5,US,Great customer service.,,"Date of experience: March 01, 2018"
www.dugood.org,Darrell,5,US,Easy online features with great…,Easy online features with great customer service.,"Date of experience: March 01, 2018"
www.dugood.org,Paula A. Rossi,5,US,I have put my full trust with My Dugood…,I have put my full trust with My Dugood c/u. They have been there for me every step of the way. Megan Perdue has helped me in so many ways. I am so thankful for everything she has done for me. The staff there at Major Drive location are all so nice and friendly. Kudos go to everyone there.,"Date of experience: February 28, 2018"
www.dugood.org,John,5,US,They make banking easy,They make banking easy! Had to replace almost debit card and it was a breeze!!!,"Date of experience: February 28, 2018"
www.dugood.org,A.G.,5,US,We have been members with DuGood since…,"We have been members with DuGood since 1989, and they truly are the best bank we have ever dealt with. We have lived in another state for the past 12 years, but we still utilize the credit union due to their dependability and great products. I would recommend them to everyone, as they are THE BEST banking institution in SE Texas!","Date of experience: February 28, 2018"
www.dugood.org,Charles,1,US,will soon be getting out after +25…,will soon be getting out after +25 years of being at that bank always want giv you any help when needed.,"Date of experience: February 27, 2018"
www.dugood.org,Erica,5,US,Happy member,"I have been a member with Dugood for over 10 years, and I am very satisfied with the service.  Thank you for all that you do to service your members.","Date of experience: February 27, 2018"
www.dugood.org,Belinda,5,US,I've purchased many items financed by…,I've purchased many items financed by DuGood!,"Date of experience: February 27, 2018"
www.dugood.org,Rebecca,5,US,I have been a member for 38 years,I have been a member for 38 years. I would recommend Du Good to anyone. Customer service is top notch.,"Date of experience: February 27, 2018"
www.dugood.org,Gordon & Beverly Cabra,5,US,We have been a member of Dugood Credit…,"We have been a member of Dugood Credit Union for more than 40 years.  We have always had excellent service, professional staff, and corrgal employees to greet us at ever transactions we have made with Dugood Credit Union.","Date of experience: February 27, 2018"
www.dugood.org,Sandra,5,US,Best Credit Union in Southeast Texas,Been with DuGood for over 20 years and not leaving! Great job DuGood!,"Date of experience: February 27, 2018"
www.dugood.org,James,5,US,Very knowledgeable and helpful today,Very knowledgeable and helpful todayJimmy Bienvenu,"Date of experience: February 27, 2018"
www.dugood.org,Melissa,5,US,Love all the employees at my local…,Love all the employees at my local branch so friendly and helpful,"Date of experience: February 27, 2018"
www.dugood.org,Cecil,5,US,Have ben with DuGood many years very…,Have ben with DuGood many years very satisfied with the total service.,"Date of experience: February 27, 2018"
www.dugood.org,Sarah,3,US,When I go in to make a deposit or pay a…,When I go in to make a deposit or pay a bill people are nice and friendly. But when you go in to pay extra on a bill I mostly get a bad attitude like I'm inconveniencing them and they usually have to call someone to make the payment. I wish some of the tellers could have more training and were nicer to bank members.,"Date of experience: February 27, 2018"
www.dugood.org,daniel,5,US,everyone is so helpful they make you…,everyone is so helpful they make you feel like family.,"Date of experience: February 27, 2018"
www.dugood.org,Jeanette,5,US,I have been most happy,,"Date of experience: February 27, 2018"
